Name,Price,Link,Image,Category,Source,Rating,Reviews
Driven Backpack,36.0,https://www.scrapingcourse.com/ecommerce/product/driven-backpack/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb03-purple-0.jpg,Bags,BeautifulSoup,,0
Electra Bra Top,39.0,https://www.scrapingcourse.com/ecommerce/product/electra-bra-top/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb01-gray_main.jpg,Tops,BeautifulSoup,,0
Endeavor Daytrip Backpack,33.0,https://www.scrapingcourse.com/ecommerce/product/endeavor-daytrip-backpack/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb06-red-0.jpg,Bags,BeautifulSoup,,0
Eos V-Neck Hoodie,54.0,https://www.scrapingcourse.com/ecommerce/product/eos-v-neck-hoodie/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh11-blue_main.jpg,Outerwear,BeautifulSoup,,0
Frankie  Sweatshirt,60.0,https://www.scrapingcourse.com/ecommerce/product/frankie-sweatshirt/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh04-green_main.jpg,Tops,BeautifulSoup,,0
Fusion Backpack,59.0,https://www.scrapingcourse.com/ecommerce/product/fusion-backpack/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mb02-gray-0.jpg,Bags,BeautifulSoup,,0
Gabrielle Micro Sleeve Top,28.0,https://www.scrapingcourse.com/ecommerce/product/gabrielle-micro-sleeve-top/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws02-green_main.jpg,Tops,BeautifulSoup,,0
Grayson Crewneck Sweatshirt,64.0,https://www.scrapingcourse.com/ecommerce/product/grayson-crewneck-sweatshirt/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh11-white_main.jpg,Tops,BeautifulSoup,,0
Hera Pullover Hoodie,48.0,https://www.scrapingcourse.com/ecommerce/product/hera-pullover-hoodie/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh02-blue_main.jpg,Outerwear,BeautifulSoup,,0
Hero Hoodie,54.0,https://www.scrapingcourse.com/ecommerce/product/hero-hoodie/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh07-gray_main.jpg,Outerwear,BeautifulSoup,,0
Hollister Backyard Sweatshirt,52.0,https://www.scrapingcourse.com/ecommerce/product/hollister-backyard-sweatshirt/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh05-white_main.jpg,Tops,BeautifulSoup,,0
Hyperion Elements Jacket,51.0,https://www.scrapingcourse.com/ecommerce/product/hyperion-elements-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj02-green_main.jpg,Outerwear,BeautifulSoup,,0
Ingrid Running Jacket,84.0,https://www.scrapingcourse.com/ecommerce/product/ingrid-running-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj04-white_main.jpg,Outerwear,BeautifulSoup,,0
Iris Workout Top,29.0,https://www.scrapingcourse.com/ecommerce/product/iris-workout-top/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/ws03-red_main.jpg,Tops,BeautifulSoup,,0
Jade Yoga Jacket,32.0,https://www.scrapingcourse.com/ecommerce/product/jade-yoga-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj09-green_main.jpg,Outerwear,BeautifulSoup,,0
Josie Yoga Jacket,56.25,https://www.scrapingcourse.com/ecommerce/product/josie-yoga-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj02-gray_main.jpg,Outerwear,BeautifulSoup,,0
Joust Duffle Bag,34.0,https://www.scrapingcourse.com/ecommerce/product/joust-duffle-bag/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mb01-blue-0.jpg,Bags,BeautifulSoup,,0
Kenobi Trail Jacket,47.0,https://www.scrapingcourse.com/ecommerce/product/kenobi-trail-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj04-black_main.jpg,Outerwear,BeautifulSoup,,0
Lando Gym Jacket,99.0,https://www.scrapingcourse.com/ecommerce/product/lando-gym-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj08-gray_main.jpg,Outerwear,BeautifulSoup,,0
Leah Yoga Top,39.0,https://www.scrapingcourse.com/ecommerce/product/leah-yoga-top/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wt05-purple_main.jpg,Tops,BeautifulSoup,,0
Mach Street Sweatshirt,62.0,https://www.scrapingcourse.com/ecommerce/product/mach-street-sweatshirt/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh10-blue_main.jpg,Tops,BeautifulSoup,,0
Marco Lightweight Active Hoodie,74.0,https://www.scrapingcourse.com/ecommerce/product/marco-lightweight-active-hoodie/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh13-blue_main.jpg,Outerwear,BeautifulSoup,,0
Miko Pullover Hoodie,69.0,https://www.scrapingcourse.com/ecommerce/product/miko-pullover-hoodie/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh04-blue_main.jpg,Outerwear,BeautifulSoup,,0
Montana Wind Jacket,49.0,https://www.scrapingcourse.com/ecommerce/product/montana-wind-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj03-black_main.jpg,Outerwear,BeautifulSoup,,0
Neve Studio Dance Jacket,69.0,https://www.scrapingcourse.com/ecommerce/product/neve-studio-dance-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj11-blue_main.jpg,Outerwear,BeautifulSoup,,0
Olivia 1/4 Zip Light Jacket,77.0,https://www.scrapingcourse.com/ecommerce/product/olivia-1-4-zip-light-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj12-blue_main.jpg,Outerwear,BeautifulSoup,,0
Orion Two-Tone Fitted Jacket,72.0,https://www.scrapingcourse.com/ecommerce/product/orion-two-tone-fitted-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj07-red_main.jpg,Outerwear,BeautifulSoup,,0
Oslo Trek Hoodie,42.0,https://www.scrapingcourse.com/ecommerce/product/oslo-trek-hoodie/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh08-brown_main.jpg,Outerwear,BeautifulSoup,,0
Phoebe Zipper Sweatshirt,59.0,https://www.scrapingcourse.com/ecommerce/product/phoebe-zipper-sweatshirt/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh07-gray_main.jpg,Tops,BeautifulSoup,,0
Prima Compete Bra Top,24.0,https://www.scrapingcourse.com/ecommerce/product/prima-compete-bra-top/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb04-blue_main.jpg,Tops,BeautifulSoup,,0
Proteus Fitness Jackshirt,45.0,https://www.scrapingcourse.com/ecommerce/product/proteus-fitness-jackshirt/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj12-orange_main.jpg,Tops,BeautifulSoup,,0
Push It Messenger Bag,45.0,https://www.scrapingcourse.com/ecommerce/product/push-it-messenger-bag/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb04-blue-0.jpg,Bags,BeautifulSoup,,0
Riona Full Zip Jacket,60.0,https://www.scrapingcourse.com/ecommerce/product/riona-full-zip-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj05-brown_main.jpg,Outerwear,BeautifulSoup,,0
Sahara Leggings,75.0,https://www.scrapingcourse.com/ecommerce/product/sahara-leggings/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wp05-gray_main.jpg,Bottoms,BeautifulSoup,,0
Selene Yoga Hoodie,42.0,https://www.scrapingcourse.com/ecommerce/product/selene-yoga-hoodie/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wh05-white_main.jpg,Outerwear,BeautifulSoup,,0
Stark Fundamental Hoodie,42.0,https://www.scrapingcourse.com/ecommerce/product/stark-fundamental-hoodie/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh06-blue_main.jpg,Outerwear,BeautifulSoup,,0
Stellar Solar Jacket,75.0,https://www.scrapingcourse.com/ecommerce/product/stellar-solar-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wj01-red_main.jpg,Outerwear,BeautifulSoup,,0
Teton Pullover Hoodie,70.0,https://www.scrapingcourse.com/ecommerce/product/teton-pullover-hoodie/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mh02-black_main.jpg,Outerwear,BeautifulSoup,,0
Typhon Performance Fleece-lined Jacket,60.0,https://www.scrapingcourse.com/ecommerce/product/typhon-performance-fleece-lined-jacket/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mj11-black_main.jpg,Outerwear,BeautifulSoup,,0
Voyage Yoga Bag,32.0,https://www.scrapingcourse.com/ecommerce/product/voyage-yoga-bag/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/wb01-black-0.jpg,Bags,BeautifulSoup,,0
Wayfarer Messenger Bag,45.0,https://www.scrapingcourse.com/ecommerce/product/wayfarer-messenger-bag/,https://www.scrapingcourse.com/ecommerce/wp-content/uploads/2024/03/mb05-black-0.jpg,Bags,BeautifulSoup,,0
Women Plus Size Summer Maxi Dress Sleeveless V-Neck Button Front Pocket,16.99,https://www.ebay.com/itm/206257706901?_skw=women+maxi+dress&hash=item3005ead795:g:2SkAAeSwfLxp~Dgn,https://i.ebayimg.com/images/g/2SkAAeSwfLxp~Dgn/s-l225.jpg,Dresses,eBay API,,0
Women's Boho Maxi Lace V Neck Flare Sleeve Dress Summer Party Beach Sundress,26.99,https://www.ebay.com/itm/365437606345?_skw=women+maxi+dress&hash=item5515c759c9:g:NfoAAOSwx1dnxjoC&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGaIxQM6%2BscFICiF785Do86kIR0X9TDcnvs3%2FOGrt%2BMuowWLO7L3ZuosHgEe5JnvpDmnh34KJo2gj%2B7zC0BDIh65p%2Bl347qi9jxN3jIck6paBob%2F5U4ZeT2f6qYoksme%2F%2BdWl1XvTqaP1geqvadR8DkXRhMOcxDeGkwxczcOysbL3hSPQMkQI%2FBg2KezJj0ZYKt6tpPyHbYH7aYOztIgGURSjmzbXndFfZN57PfyxV0nR8lUaarRbGoGiR%2FPB%2Frgwh8ZloFftVpM9fOqjyej3AAoZHVCD7%2FFQ%2BVdlxT1ZbinIw%3D%3D,https://i.ebayimg.com/images/g/NfoAAOSwx1dnxjoC/s-l225.jpg,Dresses,eBay API,,0
Altardstate - Odette Maxi Dress New,46.99,https://www.ebay.com/itm/358521935794?_skw=women+maxi+dress&hash=item53799297b2:g:ubAAAeSwtK1p-fr7&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZ7WHpMh96NpgO8TSQ7aX%2FfwWhHE%2FBc1pj7ah5v0EPH1MiQVsLWrqFin51skrA7QU%2BY9P5LUNWmMYhLfgtBn7Ioz3TkWugsuMYLOVtadcHU7Q6d7p0YNe%2BldAcoX2JqgpiqCw%2FNpXLGtKbPqPCLKmsYxNK%2BTi6X5WDqoCiDdcU%2BJwSNdfv1j7zorr6HqDitIE4zTbi8k%2Bn%2FnFwoQ9OrRxL7gcptw%2FeXmbIjwM7LnCAKylVkrHAVB5lEYW8QfYuBverL3%2BvLjpa36rJOG0wlCkA%2BXB6xOVcZ9xqVIIpFToh8Cw%3D%3D,https://i.ebayimg.com/images/g/ubAAAeSwtK1p-fr7/s-l225.jpg,Dresses,eBay API,,0
Women's Boho Ruffle Sleeve Flowy Maxi Dress Lace Up Back Tiered Party A Line,16.99,https://www.ebay.com/itm/326154890579?_skw=women+maxi+dress&hash=item4bf058ad53:g:KxUAAOSwxf9nBBw-&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGaPl8uwCN%2Bq%2BFOQh0Fr%2FKSkdDW6VVBP8EJcDwLJsjh67%2F5aYVDsBjOs%2Bwv2CVuwB6LKlKBkHCD0uJ%2FqAYTV0zg%2BwSeAyszpjleV9AfHqXxUFV6rVsbsfJnE9UiZXG%2B%2FkkC4JSagajRzJCjfccRZZOanG1O87LYInE3xg3lTGqvbjV7pH50sZ5W8WEysIlFntjgwQfnTGwSP%2FTP4lZaMgDeO8B%2Fd%2F2v9%2Bue%2FPYuMaLgo5RZwSBvSBZOM8eYpw4jqTnY%2F8ARSQ7FDpf0fFSO6NbHwUOqmYYzFATF45Jxd%2FK7IbQ%3D%3D,https://i.ebayimg.com/images/g/KxUAAOSwxf9nBBw-/s-l225.jpg,Dresses,eBay API,,0
Women Summer Maxi Dress Short Sleeve Crewneck with Pockets Casual,16.99,https://www.ebay.com/itm/206257434076?_skw=women+maxi+dress&hash=item3005e6addc:g:1poAAeSw10Rp~Ad~,https://i.ebayimg.com/images/g/1poAAeSw10Rp~Ad~/s-l225.jpg,Dresses,eBay API,,0
Black Lace Floral Maxi Dress V-Neck Short Sleeve Party Cocktail Women S M,15.0,https://www.ebay.com/itm/366393622382?_skw=women+maxi+dress&hash=item554ec2ff6e:g:g3MAAeSwyMZp~DRr,https://i.ebayimg.com/images/g/g3MAAeSwyMZp~DRr/s-l225.jpg,Dresses,eBay API,,0
"Women's Yellow Paisley Maxi Dress, Sleeveless, Round Neck, Long",70.0,https://www.ebay.com/itm/358527050592?_skw=women+maxi+dress&hash=item5379e0a360:g:sDMAAeSwKE5p-7s7,https://i.ebayimg.com/images/g/sDMAAeSwKE5p-7s7/s-l225.jpg,Dresses,eBay API,,0
Women Cotton Linen Maxi Dress V Neck Short Sleeve Plus Size with Pockets Green,17.98,https://www.ebay.com/itm/206257649203?_skw=women+maxi+dress&hash=item3005e9f633:g:SDEAAeSwEPFp~C4e,https://i.ebayimg.com/images/g/SDEAAeSwEPFp~C4e/s-l225.jpg,Dresses,eBay API,,0
Rusttydustty Ivory Floral Bohemian Maxi Dress Button Front Flutter Sleeve L,12.0,https://www.ebay.com/itm/267662013343?_skw=women+maxi+dress&hash=item3e51e6339f:g:KpQAAeSwZeRp-7~t,https://i.ebayimg.com/images/g/KpQAAeSwZeRp-7~t/s-l225.jpg,Dresses,eBay API,,0
Women Solid Color Halter Ruffle Maxi Dress Sleeveless Ruched Light Purple,21.95,https://www.ebay.com/itm/206257675741?_skw=women+maxi+dress&hash=item3005ea5ddd:g:Kq0AAeSw9cNp~DKG,https://i.ebayimg.com/images/g/Kq0AAeSw9cNp~DKG/s-l225.jpg,Dresses,eBay API,,0
NWT Petal & Pup Cream Sweater Maxi Dress Size Large,25.0,https://www.ebay.com/itm/318263123625?_skw=women+maxi+dress&hash=item4a19f5dea9:g:nF8AAeSwJk1p~BoS,https://i.ebayimg.com/images/g/nF8AAeSwJk1p~BoS/s-l225.jpg,Dresses,eBay API,,0
Boundaries Women's Navy Floral Long Sleeve Maxi Dress Round Neck Size M (7-9),6.45,https://www.ebay.com/itm/318253869148?_skw=women+maxi+dress&hash=item4a1968a85c:g:GOYAAeSwyk1p-g-B,https://i.ebayimg.com/images/g/GOYAAeSwyk1p-g-B/s-l225.jpg,Dresses,eBay API,,0
Grecerelle Green Scoop Neck Sleeveless Maxi Dress Knit Stretch Rayon M,20.0,https://www.ebay.com/itm/117182722092?_skw=women+maxi+dress&hash=item1b48a2702c:g:8FEAAeSwZLVp-~6h,https://i.ebayimg.com/images/g/8FEAAeSwZLVp-~6h/s-l225.jpg,Dresses,eBay API,,0
Women Sexy Floral Maxi Boho Long Sundress Beach Dress Cover Skirt Cocktail Party,24.99,https://www.ebay.com/itm/236480926916?_skw=women+maxi+dress&hash=item370f5c94c4:g:kFMAAOSwIHBg25in&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZWNKTmFHoBUKkxFBOc3Lm%2BRBAflTjznUlvXzQPHYx1VPfGV9I%2FBYouGgBdw2YulKHVGZyeWsIqbZU4dIj3tgPh1Feu75MlyfT1mSjeLVfnXjhCf%2FWRYzl%2FjUUvdkMbdpbJppPm65KzvJVIWiYvFDSRLw9HKJX077pdgHX3YPkQyF4Gv1dNPsin0%2BQF%2F5AvmGGqt3xJQwCLK39X0EnfcnfzNEPMga56IEpFlRvjqn0yuQE5OZdhnG2v2MPtgRDIE%2BOYLvSpfyb--sg%2B8d5Rd0jQScRg4TFKlWtV1MobRPtIfw%3D%3D,https://i.ebayimg.com/images/g/kFMAAOSwIHBg25in/s-l225.jpg,Dresses,eBay API,,0
Women's Casual Sundress Boho Beach Slit Long Maxi Floral Summer Beach Dress,18.99,https://www.ebay.com/itm/358055621248?_skw=women+maxi+dress&hash=item535dc73280:g:6S4AAOSwb~hgw-4J&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZlwPPZ4asQd3ceyXFUeRqwImKttSXZQIfpKCi%2BAP2PvZ9WiqNgzuJgVYV%2Bx9fyWhFydZwpwZcxk8Hvtzq1dnmWssK9LbRjsFVN3APzrxRxtgNO1siIR6jStS1cpb9ZwtgM28DJVpYashsAM%2B%2F92gwaitN8P8RG6fPSqt80%2BQXvSOGXSlIHZwubI%2BuLw75T%2BcPgiMbz%2B6AL0KGuzJewhD0tx9a4srGlnZ8s1ijCm4RXG4Qve0XAd0VQBgRZYOXgEd5FWw0pcNygy71N%2BFNMpn4ve0Nny5U%2FyMyiBkYYeoJqxg%3D%3D,https://i.ebayimg.com/images/g/6S4AAOSwb~hgw-4J/s-l225.jpg,Dresses,eBay API,,0
ADOR Curve Pocket Sleeveless Shirt Maxi Dress #10987881,35.0,https://www.ebay.com/itm/127777501365?_skw=women+maxi+dress&hash=item1dc021f0b5:g:ggcAAeSwJE9pyE~v&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGa3c60XR412DgC%2FOTu7gRUWnlv6Z4LPY8yjhFLHDvsIp37sbmeNj7ovDDHNqmoAmi4OmoF9KbY2I2Dg5br6CqNFWNLtKdxtaAEdhmHfuoldPiY26TZxRrUbFkI%2BXh5zVfQCSArAo3VV2su2c7LuNIiqo0qUeqEcWmEbrV29PommqnMm4A2FSYo3%2BwvqK8N6tsnf5yDB5JNFebfzeVAnHf2NRru%2FFqDDxchPczrLpovRbzFLBvG7nEBC28DhvUfd6fphDQKreKwO6cKKo65dcwtjfPs4CPjnJk2IGzsJIwK8lA%3D%3D,https://i.ebayimg.com/images/g/ggcAAeSwJE9pyE~v/s-l225.jpg,Dresses,eBay API,,0
Zenana Pink Sleeveless Maxi Dress Scoop Neck Strappy Sleeves Size S,25.0,https://www.ebay.com/itm/358519243195?_skw=women+maxi+dress&hash=item53796981bb:g:8-EAAeSwI3Zp-Q2o,https://i.ebayimg.com/images/g/8-EAAeSwI3Zp-Q2o/s-l225.jpg,Dresses,eBay API,,0
Jessica Simpson Women’s White Floral Pleated V Neck Maxi Dress – Size M,42.0,https://www.ebay.com/itm/178107133873?_skw=women+maxi+dress&hash=item2978032fb1:g:4-oAAeSwSQRp-dU3,https://i.ebayimg.com/images/g/4-oAAeSwSQRp-dU3/s-l225.jpg,Dresses,eBay API,,0
Baltic Born Delilah Maxi Dress | Blush | Size Large,30.0,https://www.ebay.com/itm/227332914789?_skw=women+maxi+dress&hash=item34ee18fe65:g:z-0AAeSwICVp-7gy,https://i.ebayimg.com/images/g/z-0AAeSwICVp-7gy/s-l225.jpg,Dresses,eBay API,,0
Polagram  Women's L Cream Floral Chiffon Maxi Dress V-Neck Tie Elastic Waist,35.0,https://www.ebay.com/itm/257495302197?_skw=women+maxi+dress&hash=item3bf3ea8035:g:DJ0AAeSw44Jp~CUx,https://i.ebayimg.com/images/g/DJ0AAeSw44Jp~CUx/s-l225.jpg,Dresses,eBay API,,0
Organic Coastal Double Gauze Beach To Brunch Maxi Dress,68.01,https://www.ebay.com/itm/377167480690?_skw=women+maxi+dress&hash=item57d0ef0772:g:iOIAAeSwrclp~Fn-,https://i.ebayimg.com/images/g/iOIAAeSwrclp~Fn-/s-l225.jpg,Dresses,eBay API,,0
The red dress looks very beautiful on her,39.0,https://www.ebay.com/itm/137289398056?_skw=women+maxi+dress&hash=item1ff715f728:g:5UoAAeSwVJVp~FmA,https://i.ebayimg.com/images/g/5UoAAeSwVJVp~FmA/s-l225.jpg,Dresses,eBay API,,0
Ever-Pretty Black Chiffon Maxi Dress V-Neck Beaded Floral Womens S,24.0,https://www.ebay.com/itm/206257104102?_skw=women+maxi+dress&hash=item3005e1a4e6:g:fQkAAeSwldpp-9no,https://i.ebayimg.com/images/g/fQkAAeSwldpp-9no/s-l225.jpg,Dresses,eBay API,,0
Baltic Born Juliette Shimmer Maxi Dress | Midnight Blue | Size XXL,30.0,https://www.ebay.com/itm/227332936321?_skw=women+maxi+dress&hash=item34ee195281:g:kPsAAeSw8kxp-8uy,https://i.ebayimg.com/images/g/kPsAAeSw8kxp-8uy/s-l225.jpg,Dresses,eBay API,,0
Old Navy Sleeveless High Neck Maxi Dress Pink Floral NWOT,20.0,https://www.ebay.com/itm/227333216611?_skw=women+maxi+dress&hash=item34ee1d9963:g:YmMAAeSwdJBp~ATn,https://i.ebayimg.com/images/g/YmMAAeSwdJBp~ATn/s-l225.jpg,Dresses,eBay API,,0
"Lulus Pink Velvet V-Neck Wrap Maxi Dress, Sleeveless, Tie Closure, Size L",17.71,https://www.ebay.com/itm/397920621411?_skw=women+maxi+dress&hash=item5ca5ead363:g:XOMAAeSwFCdp--6K,https://i.ebayimg.com/images/g/XOMAAeSwFCdp--6K/s-l225.jpg,Dresses,eBay API,,0
Madewell Broadway & Broome Silk Floral Maxi Size 12,25.0,https://www.ebay.com/itm/227333068880?_skw=women+maxi+dress&hash=item34ee1b5850:g:Hx8AAeSwBtJp-988,https://i.ebayimg.com/images/g/Hx8AAeSwBtJp-988/s-l225.jpg,Dresses,eBay API,,0
Women's Green Satin Sweetheart Sleeveless Solid Long Maxi Dress Size 4,75.0,https://www.ebay.com/itm/377166963054?_skw=women+maxi+dress&hash=item57d0e7216e:g:NkAAAeSwkuZp-~TU,https://i.ebayimg.com/images/g/NkAAAeSwkuZp-~TU/s-l225.jpg,Dresses,eBay API,,0
Womens V-Neck Plus Size Long Maxi Wrap Dresses Summer Sundress 3/4 Sleeve Dress,24.51,https://www.ebay.com/itm/167901801496?_skw=women+maxi+dress&hash=item2717ba2c18:g:bnwAAeSwWsRpAxFT&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGapP%2BH2BxDPpLNJEbYOHfhbIj%2FEqNv7neO7quRtPE8w2bjK3YSXdj4gJxyJdCfI0rVNzrd3eceOOPDyPU%2FbtY4qMp5F8sW%2FujfFh5Wc4ex5QaK0sOv7Br6mOSd7rsXPVAFTCDgoffZbANXPQHX5t4obIrIQztR%2BsDaT1zQO9CwUCCDRz3O15OSR84nH2bTEReog%2FbH9FTpKZ0%2F9rMLDfUgUtR3j%2B2bWxcdkFB9XQMLyEVEbde1lntUZa8hAEkG88tOrolPancBdX2kVMoPk4r6hkDo%2BjD7i%2BO8THp3rXm3dGg%3D%3D,https://i.ebayimg.com/images/g/bnwAAeSwWsRpAxFT/s-l225.jpg,Dresses,eBay API,,0
Women Kaftan Lady Print Plus size Caftan Dress African Dashiki Boho Maxi Dress,18.99,https://www.ebay.com/itm/175224695019?_skw=women+maxi+dress&hash=item28cc34a8eb:g:vOUAAOSw~iVgN3i6&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGbcl3PLTGvzCs2O%2FfiM766IQzxfew%2BXGnPfSI7vvxxMLPYlNfbBvvUtCC3laha42ELzBiq47xMp33020Jf6HFdwDKI1wQ2OtAyJ2PMTqZGG%2FJQhF3zVpDFg7I%2BekWhjOFB8gwUX0EtvLd2TyKVPCNIxeif2suEwHeV9iSEkC51w6TjN3rLtzJCIjMPr3PqM2baGIZzhBSDuZUkbUg9IRrCBep%2Fv66cmlLEvU0qVHb5v464OtcySk8Z%2F89XN17G11lAa3XSMUqasryY6RItFf%2BqjnD3W0kQmXdf%2FPLpQQdbIOQ%3D%3D,https://i.ebayimg.com/images/g/vOUAAOSw~iVgN3i6/s-l225.jpg,Dresses,eBay API,,0
Altardstate - Tatum Strapless Dress,46.99,https://www.ebay.com/itm/406910095705?_skw=women+maxi+dress&hash=item5ebdbb5159:g:CjkAAeSwXf5p~C~L&amdata=enc%3AAQALAAAA8ACCtXRWQnOEpyOqnQQ8KGZH5wRq%2Ble%2FzTbSx5WAZ60Lds0K7jQplTJ7sBzSV%2ByBqmLNcdxqvq70x1igW%2Fmp4f29gdL0p%2FozzQV649GCmk%2FchFV5ZTbkEqQ9dIiaG7im5DOVqS94hn0wrm%2FT31eTPwK0CXuwCbizM3agcmFm%2B9sJmVcGZVjRhjhP1DNzkYT0P2g5%2FzcEN8TGhRi%2FDYmotJzpki%2FD0tukNmoVnRNphEb1ADCZikUd7%2FJZx7Q7p6t1olB3j4IaH3u856QPIMU8itXporYrOZdzezkYakQjbdBOz7jcgSlCe35jRBKuYZcFSg%3D%3D,https://i.ebayimg.com/images/g/CjkAAeSwXf5p~C~L/s-l225.jpg,Dresses,eBay API,,0
